cmd=numactl --physcpubind=0-7,16-23,24-31,32-39,48-55,56-63   ../build/benchmarks/pacman_bench --benchmark_repetitions=1 --benchmark_filter=/(50)/.*/threads:(4)$   --benchmark_out=../results/etc_3_0 --benchmark_out_format=json reps=1
total keys: 20000000 NUM_OPS_PER_THREAD: 1000000000 NUM_WARMUP_OPS_PER_THREAD: 0
benchmark: ETC
The number of inputs is very large. DBFixture/bench will be repeated at least 320 times.
2024-08-26T23:30:31-05:00
Running ../build/benchmarks/pacman_bench
Run on (64 X 2000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x32)
  L1 Instruction 64 KiB (x32)
  L2 Unified 512 KiB (x32)
  L3 Unified 8192 KiB (x8)
Load Average: 1.64, 0.52, 0.19
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
[1724733031]	Setup starts!
Init capacity utilization 50%  threads of service / gc : 4 / 2
[1724733031]	Setup starts!
[1724733031]	Setup starts!
[1724733031]	Setup starts!
Using MADVISE_HUGE
idx_start_addr_ = 0x7f164ec00000, is aligned to 2MB = 1
idx_pool_size_ = 10737418240, is aligned to 2MB = 1
DB index type: FastFair
Using MADVISE_HUGE
pool_start_ 0x7f1453a00000, is aligned to 2M? 1
total_log_size_ 0x1fb000000, is aligned to 2M? 1
[1724733031]	Initializing log segments...
Log: pool_start 0x7f1453a00000 total segments: 2028  cleaners: 2
[1724733032]Initialized 2026 free log segments...
[1724733032]	DB init finished in 0.681640 seconds
[1724733032]	DB init finished in 0.681454 seconds
[1724733032]	DB init finished in 0.681555 seconds
[1724733032]	DB init finished in 0.681817 seconds
[1724733041]	DB load finished in 9.248561 seconds
[1724733041]	DB load finished in 9.288803 seconds
[1724733041]	DB load finished in 9.333742 seconds
[1724733042]	DB load finished in 9.466467 seconds
[1724733042]	DB warmup finished in 0.000023 seconds
[1724733042]	DB warmup finished in 0.177713 seconds
[1724733042]	DB warmup finished in 0.217954 seconds
[1724733042]	DB warmup finished in 0.132937 seconds
[1724733042]	ETC init!
[1724733042]	ETC starts!
[1724733042]	ETC init!
[1724733042]	ETC starts!
[1724733042]	ETC init!
[1724733042]	ETC starts!
[1724733042]	ETC init!
[1724733042]	ETC starts!
7261	[1724733162]	2000000 OPS in 2.463817 seconds, throughput 811748.599835
7261	[1724733163]	2000000 OPS in 2.338278 seconds, throughput 855330.290068
7261	[1724733164]	2000000 OPS in 2.321763 seconds, throughput 861414.364860
7261	[1724733165]	2000000 OPS in 2.304746 seconds, throughput 867774.583403
7261	[1724733165]	2000000 OPS in 2.418471 seconds, throughput 826968.774900
7261	[1724733165]	2000000 OPS in 2.325895 seconds, throughput 859884.044637
7261	[1724733167]	2000000 OPS in 2.309476 seconds, throughput 865997.308480
7261	[1724733167]	2000000 OPS in 2.381446 seconds, throughput 839825.887297
7261	[1724733167]	2000000 OPS in 2.424732 seconds, throughput 824833.424890
7261	[1724733167]	2000000 OPS in 2.406777 seconds, throughput 830986.834260
7261	[1724733169]	2000000 OPS in 2.330536 seconds, throughput 858171.682394
7261	[1724733169]	2000000 OPS in 2.264826 seconds, throughput 883070.045999
7261	[1724733170]	2000000 OPS in 2.363618 seconds, throughput 846160.420169
7261	[1724733170]	2000000 OPS in 2.344282 seconds, throughput 853139.682001
7261	[1724733171]	2000000 OPS in 2.361243 seconds, throughput 847011.510463
7261	[1724733172]	2000000 OPS in 2.338196 seconds, throughput 855360.286306
7261	[1724733172]	2000000 OPS in 2.436668 seconds, throughput 820792.984518
7261	[1724733172]	2000000 OPS in 2.482823 seconds, throughput 805534.667594
7261	[1724733174]	2000000 OPS in 2.339000 seconds, throughput 855066.267636
7261	[1724733174]	2000000 OPS in 2.326921 seconds, throughput 859504.899393
7261	[1724733175]	2000000 OPS in 2.412582 seconds, throughput 828987.367062
7261	[1724733175]	2000000 OPS in 2.327462 seconds, throughput 859305.114326
7261	[1724733176]	2000000 OPS in 2.346973 seconds, throughput 852161.486306
7261	[1724733176]	2000000 OPS in 2.407894 seconds, throughput 830601.347069
7261	[1724733177]	2000000 OPS in 2.458429 seconds, throughput 813527.663398
7261	[1724733177]	2000000 OPS in 2.430755 seconds, throughput 822789.627091
7261	[1724733178]	2000000 OPS in 2.365233 seconds, throughput 845582.655070
7261	[1724733179]	2000000 OPS in 2.365903 seconds, throughput 845343.194543
7261	[1724733179]	2000000 OPS in 2.414733 seconds, throughput 828248.920274
